epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,508.837,2.40791,2.94293,1.13396,0.37176,0.2061,0.17202,0.0972,2.10508,1.66999,0.9721,0.00023789,0.00023789,0.00023789
2,986.454,2.18575,1.78844,0.97289,0.32845,0.27703,0.24789,0.14266,2.01837,1.51118,0.93532,0.000460185,0.000460185,0.000460185
3,1474.34,2.12652,1.64359,0.9508,0.37509,0.29423,0.28096,0.16581,1.9762,1.43871,0.91969,0.000666773,0.000666773,0.000666773
4,1952.03,2.09413,1.55496,0.93561,0.3983,0.32722,0.31375,0.1858,1.93999,1.37886,0.91243,0.000643314,0.000643314,0.000643314
5,2427.14,2.08174,1.51156,0.92868,0.42639,0.34279,0.32919,0.19344,1.96172,1.36796,0.90534,0.000619752,0.000619752,0.000619752
6,2904.8,2.05923,1.46743,0.92101,0.44104,0.33748,0.33804,0.20093,1.93204,1.33607,0.90236,0.00059619,0.00059619,0.00059619
7,3378.96,2.03661,1.43012,0.91543,0.4552,0.33998,0.34349,0.20248,1.92599,1.33535,0.89884,0.000572628,0.000572628,0.000572628
8,3854.27,2.03441,1.40386,0.91131,0.46665,0.35532,0.36005,0.21449,1.89353,1.31223,0.89318,0.000549066,0.000549066,0.000549066
9,4326.89,2.00361,1.36979,0.90524,0.47483,0.35963,0.3662,0.21878,1.89314,1.29761,0.89126,0.000525504,0.000525504,0.000525504
10,4800.29,2.00454,1.36183,0.90141,0.47188,0.36554,0.37225,0.22052,1.89656,1.28235,0.89172,0.000501942,0.000501942,0.000501942
11,5277.86,1.99874,1.34011,0.89965,0.47904,0.3687,0.37893,0.22613,1.87078,1.26956,0.88692,0.00047838,0.00047838,0.00047838
12,5755.88,1.97679,1.31974,0.89657,0.49542,0.38221,0.38899,0.23359,1.85693,1.24853,0.88437,0.000454818,0.000454818,0.000454818
13,6233.11,1.9697,1.30904,0.89334,0.49364,0.3821,0.38924,0.23232,1.86252,1.25947,0.883,0.000431256,0.000431256,0.000431256
14,6709.1,1.9635,1.29287,0.89056,0.50688,0.38604,0.39836,0.23849,1.85485,1.21906,0.88179,0.000407694,0.000407694,0.000407694
15,7183.35,1.95489,1.2752,0.8886,0.49834,0.38848,0.39877,0.23987,1.83526,1.23236,0.87933,0.000384132,0.000384132,0.000384132
16,7659.76,1.95923,1.26827,0.88461,0.51061,0.38737,0.40175,0.24097,1.84117,1.22871,0.87876,0.00036057,0.00036057,0.00036057
17,8133.44,1.94122,1.25475,0.8841,0.51365,0.39121,0.40799,0.24435,1.83992,1.20723,0.8794,0.000337008,0.000337008,0.000337008
18,8603.33,1.92208,1.23865,0.8821,0.50156,0.40085,0.40869,0.24662,1.83687,1.20486,0.87807,0.000313446,0.000313446,0.000313446
19,9082.72,1.92431,1.22848,0.88013,0.51639,0.39961,0.41153,0.24866,1.82526,1.20653,0.87613,0.000289884,0.000289884,0.000289884
20,9560.9,1.90318,1.2164,0.87934,0.5245,0.40568,0.41813,0.25189,1.82209,1.19045,0.87525,0.000266322,0.000266322,0.000266322
21,10026.4,1.85717,1.1825,0.88175,0.5201,0.39778,0.41058,0.24706,1.83623,1.20666,0.87721,0.00024276,0.00024276,0.00024276
22,10483.9,1.83597,1.15755,0.88055,0.51734,0.40013,0.41452,0.24834,1.83875,1.19654,0.87768,0.000219198,0.000219198,0.000219198
23,10940.8,1.84239,1.15176,0.87721,0.52849,0.39872,0.41477,0.24936,1.82818,1.19289,0.87613,0.000195636,0.000195636,0.000195636
24,11400.1,1.82841,1.13663,0.87499,0.53128,0.39937,0.4194,0.25413,1.82087,1.18837,0.87466,0.000172074,0.000172074,0.000172074
25,11862.8,1.82409,1.13202,0.87414,0.538,0.39981,0.4196,0.25436,1.81817,1.18582,0.87392,0.000148512,0.000148512,0.000148512
26,12322.9,1.8214,1.12306,0.87269,0.52503,0.4048,0.42323,0.25471,1.82161,1.18303,0.87405,0.00012495,0.00012495,0.00012495
27,12786.6,1.8062,1.10956,0.87155,0.53166,0.40909,0.42433,0.25644,1.82093,1.18277,0.8745,0.000101388,0.000101388,0.000101388
28,13253.1,1.80852,1.1111,0.86974,0.54185,0.40298,0.42477,0.2566,1.81556,1.1792,0.87293,7.7826e-05,7.7826e-05,7.7826e-05
29,13719.6,1.79707,1.09773,0.8692,0.53539,0.40612,0.42468,0.2584,1.81235,1.17808,0.87247,5.4264e-05,5.4264e-05,5.4264e-05
30,14196.6,1.80194,1.10609,0.86797,0.54116,0.40305,0.4266,0.25867,1.80874,1.1766,0.87174,3.0702e-05,3.0702e-05,3.0702e-05
